db_type,release,organism,source,missing_meta,missing_coord
vertebrates,61,ailuropoda_melanoleuca,tgz-only,1,1
vertebrates,61,anolis_carolinensis,tgz-only,1,1
vertebrates,61,bos_taurus,tgz-only,1,1
vertebrates,61,caenorhabditis_elegans,tgz-only,1,1
vertebrates,61,callithrix_jacchus,tgz-only,1,1
vertebrates,61,canis_familiaris,tgz-only,1,1
vertebrates,61,cavia_porcellus,tgz-only,1,1
vertebrates,61,choloepus_hoffmanni,tgz-only,1,1
vertebrates,61,ciona_intestinalis,tgz-only,1,1
vertebrates,61,ciona_savignyi,tgz-only,1,1
vertebrates,61,danio_rerio,tgz-only,1,1
vertebrates,61,dasypus_novemcinctus,tgz-only,1,1
vertebrates,61,dipodomys_ordii,tgz-only,1,1
vertebrates,61,drosophila_melanogaster,tgz-only,1,1
vertebrates,61,echinops_telfairi,tgz-only,1,1
vertebrates,61,equus_caballus,tgz-only,1,1
vertebrates,61,erinaceus_europaeus,tgz-only,1,1
vertebrates,61,felis_catus,tgz-only,1,1
vertebrates,61,gallus_gallus,tgz-only,1,1
vertebrates,61,gasterosteus_aculeatus,tgz-only,1,1
vertebrates,61,gorilla_gorilla,tgz-only,1,1
vertebrates,61,loxodonta_africana,tgz-only,1,1
vertebrates,61,macaca_mulatta,tgz-only,1,1
vertebrates,61,macropus_eugenii,tgz-only,1,1
vertebrates,61,meleagris_gallopavo,tgz-only,1,1
vertebrates,61,microcebus_murinus,tgz-only,1,1
vertebrates,61,monodelphis_domestica,tgz-only,1,1
vertebrates,61,mus_musculus,tgz-only,1,1
vertebrates,61,myotis_lucifugus,tgz-only,1,1
vertebrates,61,ochotona_princeps,tgz-only,1,1
vertebrates,61,ornithorhynchus_anatinus,tgz-only,1,1
vertebrates,61,oryctolagus_cuniculus,tgz-only,1,1
vertebrates,61,oryzias_latipes,tgz-only,1,1
vertebrates,61,otolemur_garnettii,tgz-only,1,1
vertebrates,61,pan_troglodytes,tgz-only,1,1
vertebrates,61,pongo_pygmaeus,tgz-only,1,1
vertebrates,61,procavia_capensis,tgz-only,1,1
vertebrates,61,pteropus_vampyrus,tgz-only,1,1
vertebrates,61,rattus_norvegicus,tgz-only,1,1
vertebrates,61,saccharomyces_cerevisiae,tgz-only,1,1
vertebrates,61,sorex_araneus,tgz-only,1,1
vertebrates,61,spermophilus_tridecemlineatus,tgz-only,1,1
vertebrates,61,sus_scrofa,tgz-only,1,1
vertebrates,61,taeniopygia_guttata,tgz-only,1,1
vertebrates,61,takifugu_rubripes,tgz-only,1,1
vertebrates,61,tarsius_syrichta,tgz-only,1,1
vertebrates,61,tetraodon_nigroviridis,tgz-only,1,1
vertebrates,61,tupaia_belangeri,tgz-only,1,1
vertebrates,61,tursiops_truncatus,tgz-only,1,1
vertebrates,61,vicugna_pacos,tgz-only,1,1
vertebrates,61,xenopus_tropicalis,tgz-only,1,1
vertebrates,67,ailuropoda_melanoleuca,tgz-only,1,1
vertebrates,67,anolis_carolinensis,tgz-only,1,1
vertebrates,67,bos_taurus,tgz-only,1,1
vertebrates,67,caenorhabditis_elegans,tgz-only,1,1
vertebrates,67,callithrix_jacchus,tgz-only,1,1
vertebrates,67,canis_familiaris,tgz-only,1,1
vertebrates,67,cavia_porcellus,tgz-only,1,1
vertebrates,67,choloepus_hoffmanni,tgz-only,1,1
vertebrates,67,ciona_intestinalis,tgz-only,1,1
vertebrates,67,ciona_savignyi,tgz-only,1,1
vertebrates,67,danio_rerio,tgz-only,1,1
vertebrates,67,dasypus_novemcinctus,tgz-only,1,1
vertebrates,67,dipodomys_ordii,tgz-only,1,1
vertebrates,67,drosophila_melanogaster,tgz-only,1,1
vertebrates,67,echinops_telfairi,tgz-only,1,1
vertebrates,67,equus_caballus,tgz-only,1,1
vertebrates,67,erinaceus_europaeus,tgz-only,1,1
vertebrates,67,felis_catus,tgz-only,1,1
vertebrates,67,gadus_morhua,tgz-only,1,1
vertebrates,67,gallus_gallus,tgz-only,1,1
vertebrates,67,gasterosteus_aculeatus,tgz-only,1,1
vertebrates,67,gorilla_gorilla,tgz-only,1,1
vertebrates,67,latimeria_chalumnae,tgz-only,1,1
vertebrates,67,loxodonta_africana,tgz-only,1,1
vertebrates,67,macaca_mulatta,tgz-only,1,1
vertebrates,67,macropus_eugenii,tgz-only,1,1
vertebrates,67,meleagris_gallopavo,tgz-only,1,1
vertebrates,67,microcebus_murinus,tgz-only,1,1
vertebrates,67,monodelphis_domestica,tgz-only,1,1
vertebrates,67,mus_musculus,tgz-only,1,1
vertebrates,67,myotis_lucifugus,tgz-only,1,1
vertebrates,67,nomascus_leucogenys,tgz-only,1,1
vertebrates,67,ochotona_princeps,tgz-only,1,1
vertebrates,67,oreochromis_niloticus,tgz-only,1,1
vertebrates,67,ornithorhynchus_anatinus,tgz-only,1,1
vertebrates,67,oryctolagus_cuniculus,tgz-only,1,1
vertebrates,67,oryzias_latipes,tgz-only,1,1
vertebrates,67,otolemur_garnettii,tgz-only,1,1
vertebrates,67,pan_troglodytes,tgz-only,1,1
vertebrates,67,petromyzon_marinus,tgz-only,1,1
vertebrates,67,pongo_abelii,tgz-only,1,1
vertebrates,67,procavia_capensis,tgz-only,1,1
vertebrates,67,pteropus_vampyrus,tgz-only,1,1
vertebrates,67,rattus_norvegicus,tgz-only,1,1
vertebrates,67,saccharomyces_cerevisiae,tgz-only,1,1
vertebrates,67,sarcophilus_harrisii,tgz-only,1,1
vertebrates,67,sorex_araneus,tgz-only,1,1
vertebrates,67,spermophilus_tridecemlineatus,tgz-only,1,1
vertebrates,67,sus_scrofa,tgz-only,1,1
vertebrates,67,taeniopygia_guttata,tgz-only,1,1
vertebrates,67,takifugu_rubripes,tgz-only,1,1
vertebrates,67,tarsius_syrichta,tgz-only,1,1
vertebrates,67,tetraodon_nigroviridis,tgz-only,1,1
vertebrates,67,tupaia_belangeri,tgz-only,1,1
vertebrates,67,tursiops_truncatus,tgz-only,1,1
vertebrates,67,vicugna_pacos,tgz-only,1,1
vertebrates,67,xenopus_tropicalis,tgz-only,1,1
vertebrates,88,ailuropoda_melanoleuca,tgz-only,1,1
vertebrates,88,anas_platyrhynchos,tgz-only,1,1
vertebrates,88,anolis_carolinensis,tgz-only,1,1
vertebrates,88,astyanax_mexicanus,tgz-only,1,1
vertebrates,88,bos_taurus,tgz-only,1,1
vertebrates,88,caenorhabditis_elegans,tgz-only,1,1
vertebrates,88,callithrix_jacchus,tgz-only,1,1
vertebrates,88,canis_familiaris,tgz-only,1,1
vertebrates,88,cavia_porcellus,tgz-only,1,1
vertebrates,88,chlorocebus_sabaeus,tgz-only,1,1
vertebrates,88,choloepus_hoffmanni,tgz-only,1,1
vertebrates,88,ciona_intestinalis,tgz-only,1,1
vertebrates,88,ciona_savignyi,tgz-only,1,1
vertebrates,88,danio_rerio,tgz-only,1,1
vertebrates,88,dasypus_novemcinctus,tgz-only,1,1
vertebrates,88,dipodomys_ordii,tgz-only,1,1
vertebrates,88,drosophila_melanogaster,tgz-only,1,1
vertebrates,88,echinops_telfairi,tgz-only,1,1
vertebrates,88,equus_caballus,tgz-only,1,1
vertebrates,88,erinaceus_europaeus,tgz-only,1,1
vertebrates,88,felis_catus,tgz-only,1,1
vertebrates,88,ficedula_albicollis,tgz-only,1,1
vertebrates,88,gadus_morhua,tgz-only,1,1
vertebrates,88,gallus_gallus,tgz-only,1,1
vertebrates,88,gasterosteus_aculeatus,tgz-only,1,1
vertebrates,88,gorilla_gorilla,tgz-only,1,1
vertebrates,88,homo_sapiens,tgz-only,1,1
vertebrates,88,ictidomys_tridecemlineatus,tgz-only,1,1
vertebrates,88,latimeria_chalumnae,tgz-only,1,1
vertebrates,88,lepisosteus_oculatus,tgz-only,1,1
vertebrates,88,loxodonta_africana,tgz-only,1,1
vertebrates,88,macaca_mulatta,tgz-only,1,1
vertebrates,88,macropus_eugenii,tgz-only,1,1
vertebrates,88,meleagris_gallopavo,tgz-only,1,1
vertebrates,88,microcebus_murinus,tgz-only,1,1
vertebrates,88,monodelphis_domestica,tgz-only,1,1
vertebrates,88,mus_musculus,tgz-only,1,1
vertebrates,88,mus_musculus_129s1svimj,tgz-only,1,1
vertebrates,88,mus_musculus_aj,tgz-only,1,1
vertebrates,88,mus_musculus_akrj,tgz-only,1,1
vertebrates,88,mus_musculus_balbcj,tgz-only,1,1
vertebrates,88,mus_musculus_c3hhej,tgz-only,1,1
vertebrates,88,mus_musculus_c57bl6nj,tgz-only,1,1
vertebrates,88,mus_musculus_casteij,tgz-only,1,1
vertebrates,88,mus_musculus_cbaj,tgz-only,1,1
vertebrates,88,mus_musculus_dba2j,tgz-only,1,1
vertebrates,88,mus_musculus_fvbnj,tgz-only,1,1
vertebrates,88,mus_musculus_lpj,tgz-only,1,1
vertebrates,88,mus_musculus_nodshiltj,tgz-only,1,1
vertebrates,88,mus_musculus_nzohlltj,tgz-only,1,1
vertebrates,88,mus_musculus_pwkphj,tgz-only,1,1
vertebrates,88,mus_musculus_wsbeij,tgz-only,1,1
vertebrates,88,mus_spretus_spreteij,tgz-only,1,1
vertebrates,88,mustela_putorius_furo,tgz-only,1,1
vertebrates,88,myotis_lucifugus,tgz-only,1,1
vertebrates,88,nomascus_leucogenys,tgz-only,1,1
vertebrates,88,ochotona_princeps,tgz-only,1,1
vertebrates,88,oreochromis_niloticus,tgz-only,1,1
vertebrates,88,ornithorhynchus_anatinus,tgz-only,1,1
vertebrates,88,oryctolagus_cuniculus,tgz-only,1,1
vertebrates,88,oryzias_latipes,tgz-only,1,1
vertebrates,88,otolemur_garnettii,tgz-only,1,1
vertebrates,88,ovis_aries,tgz-only,1,1
vertebrates,88,pan_troglodytes,tgz-only,1,1
vertebrates,88,papio_anubis,tgz-only,1,1
vertebrates,88,pelodiscus_sinensis,tgz-only,1,1
vertebrates,88,petromyzon_marinus,tgz-only,1,1
vertebrates,88,poecilia_formosa,tgz-only,1,1
vertebrates,88,pongo_abelii,tgz-only,1,1
vertebrates,88,procavia_capensis,tgz-only,1,1
vertebrates,88,pteropus_vampyrus,tgz-only,1,1
vertebrates,88,rattus_norvegicus,tgz-only,1,1
vertebrates,88,saccharomyces_cerevisiae,tgz-only,1,1
vertebrates,88,sarcophilus_harrisii,tgz-only,1,1
vertebrates,88,sorex_araneus,tgz-only,1,1
vertebrates,88,sus_scrofa,tgz-only,1,1
vertebrates,88,taeniopygia_guttata,tgz-only,1,1
vertebrates,88,takifugu_rubripes,tgz-only,1,1
vertebrates,88,tarsius_syrichta,tgz-only,1,1
vertebrates,88,tetraodon_nigroviridis,tgz-only,1,1
vertebrates,88,tupaia_belangeri,tgz-only,1,1
vertebrates,88,tursiops_truncatus,tgz-only,1,1
vertebrates,88,vicugna_pacos,tgz-only,1,1
vertebrates,88,xenopus_tropicalis,tgz-only,1,1
vertebrates,88,xiphophorus_maculatus,tgz-only,1,1
vertebrates,89,ailuropoda_melanoleuca,dir,1,0
vertebrates,89,anas_platyrhynchos,dir,1,0
vertebrates,89,anolis_carolinensis,dir,1,0
vertebrates,89,astyanax_mexicanus,dir,1,0
vertebrates,89,bos_taurus,dir,1,0
vertebrates,89,caenorhabditis_elegans,dir,1,0
vertebrates,89,callithrix_jacchus,dir,1,0
vertebrates,89,canis_familiaris,dir,1,0
vertebrates,89,carlito_syrichta,dir,1,0
vertebrates,89,cavia_porcellus,dir,1,0
vertebrates,89,chlorocebus_sabaeus,dir,1,0
vertebrates,89,choloepus_hoffmanni,dir,1,0
vertebrates,89,ciona_intestinalis,dir,1,0
vertebrates,89,ciona_savignyi,dir,1,0
vertebrates,89,danio_rerio,dir,1,0
vertebrates,89,dasypus_novemcinctus,dir,1,0
vertebrates,89,dipodomys_ordii,dir,1,0
vertebrates,89,drosophila_melanogaster,dir,1,0
vertebrates,89,echinops_telfairi,dir,1,0
vertebrates,89,equus_caballus,dir,1,0
vertebrates,89,erinaceus_europaeus,dir,1,0
vertebrates,89,felis_catus,dir,1,0
vertebrates,89,ficedula_albicollis,dir,1,0
vertebrates,89,gadus_morhua,dir,1,0
vertebrates,89,gallus_gallus,dir,1,0
vertebrates,89,gasterosteus_aculeatus,dir,1,0
vertebrates,89,gorilla_gorilla,dir,1,0
vertebrates,89,homo_sapiens,dir,1,0
vertebrates,89,ictidomys_tridecemlineatus,dir,1,0
vertebrates,89,latimeria_chalumnae,dir,1,0
vertebrates,89,lepisosteus_oculatus,dir,1,0
vertebrates,89,loxodonta_africana,dir,1,0
vertebrates,89,macaca_mulatta,dir,1,0
vertebrates,89,meleagris_gallopavo,dir,1,0
vertebrates,89,microcebus_murinus,dir,1,0
vertebrates,89,monodelphis_domestica,dir,1,0
vertebrates,89,mus_musculus,dir,1,0
vertebrates,89,mus_musculus_129s1svimj,dir,1,0
vertebrates,89,mus_musculus_aj,dir,1,0
vertebrates,89,mus_musculus_akrj,dir,1,0
vertebrates,89,mus_musculus_balbcj,dir,1,0
vertebrates,89,mus_musculus_c3hhej,dir,1,0
vertebrates,89,mus_musculus_c57bl6nj,dir,1,0
vertebrates,89,mus_musculus_casteij,dir,1,0
vertebrates,89,mus_musculus_cbaj,dir,1,0
vertebrates,89,mus_musculus_dba2j,dir,1,0
vertebrates,89,mus_musculus_fvbnj,dir,1,0
vertebrates,89,mus_musculus_lpj,dir,1,0
vertebrates,89,mus_musculus_nodshiltj,dir,1,0
vertebrates,89,mus_musculus_nzohlltj,dir,1,0
vertebrates,89,mus_musculus_pwkphj,dir,1,0
vertebrates,89,mus_musculus_wsbeij,dir,1,0
vertebrates,89,mus_spretus_spreteij,dir,1,0
